RoleName,Policy,PolicyType,WasProcessed,Error,Tag,URL
acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9,AmazonEC2RoleforSSM,AWS_MANAGED,false,Error - Unable to create policy AmazonEC2RoleforSSM as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9?section=permissions
acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9,AWSCodeDeployRole,AWS_MANAGED,false,Error - Unable to create policy AWSCodeDeployRole as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-uBreakiFix-IAM-WO94N632XV46-PortalIAMRole-1HQH6U9I2NPU9?section=permissions
Biffy-stage-Ecs-Task-Role,AmazonRedshiftFullAccess,AWS_MANAGED,false,Error - Unable to create policy AmazonRedshiftFullAccess as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role Biffy-stage-Ecs-Task-Role,No Platform tag found,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/Biffy-stage-Ecs-Task-Role?section=permissions
Biffy-stage-Ecs-Task-Role,AmazonECSTaskExecutionRolePolicy,AWS_MANAGED,false,Error - Unable to create policy AmazonECSTaskExecutionRolePolicy as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role Biffy-stage-Ecs-Task-Role,No Platform tag found,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/Biffy-stage-Ecs-Task-Role?section=permissions
Biffy-stage-Ecs-Task-Role,CloudWatchFullAccess,AWS_MANAGED,false,Error - Unable to create policy CloudWatchFullAccess as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role Biffy-stage-Ecs-Task-Role,No Platform tag found,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/Biffy-stage-Ecs-Task-Role?section=permissions
acdk-Biffy-stage-Ecs-Task-Role,AmazonRedshiftFullAccess,AWS_MANAGED,false,Error - Unable to create policy AmazonRedshiftFullAccess as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-Biffy-stage-Ecs-Task-Role,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-Biffy-stage-Ecs-Task-Role?section=permissions
acdk-Biffy-stage-Ecs-Task-Role,AmazonECSTaskExecutionRolePolicy,AWS_MANAGED,false,Error - Unable to create policy AmazonECSTaskExecutionRolePolicy as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-Biffy-stage-Ecs-Task-Role,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-Biffy-stage-Ecs-Task-Role?section=permissions
acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,CloudWatchAgentServerPolicy,AWS_MANAGED,false,Error - Unable to create policy CloudWatchAgentServerPolicy as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED?section=permissions
acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,AmazonSSMManagedInstanceCore,AWS_MANAGED,false,Error - Unable to create policy AmazonSSMManagedInstanceCore as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED?section=permissions
acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,AWSCodeDeployRole,AWS_MANAGED,false,Error - Unable to create policy AWSCodeDeployRole as inline: LimitExceededException - Maximum policy size of 10240 bytes exceeded for role acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED,UBIF-BIFFY,https://us-east-1.console.aws.amazon.com/iam/home?region=us-east-1#/roles/details/acdk-uBreakiFix-IAM-WO94N632XV46-WorkerIAMRole-1XISQ6B6V83ED?section=permissions
